No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,9,120,197000
1,2020,2,21,2,120,197000
2,2020,2,7,16,180,197000
3,2020,2,23,21,120,197000
4,2020,2,24,19,120,197000
5,2020,2,12,8,120,197000
6,2020,2,13,1,120,197000
7,2020,3,25,11,120,197000
8,2020,2,9,18,180,197000
9,2020,2,8,19,180,197000
10,2020,2,19,21,120,197000
11,2020,4,9,11,90,197000
12,2020,2,10,15,180,197000
13,2020,2,18,9,120,197000
14,2020,2,22,20,120,197000
15,2020,2,17,18,120,197000
16,2020,2,25,5,120,197000
17,2020,2,6,0,180,197000
18,2020,2,20,17,120,197000
19,2020,2,5,9,180,197000
20,2020,4,3,13,90,197000
21,2020,5,27,6,120,197000
22,2020,4,2,6,90,197000
